financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line,station_alloc_ridership,period_year,upgrade_year,train_upgrade_year,signalling_upgrade_year,post_upgrade,post_train_upgrade,post_signalling_upgrade
07_16/17,2016/2017,7.0,28.0,2016-10-15,Jubilee,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.3292864895750154,840971.4639732374,16438075.698113209,2016.0,2011.0,2011.0,2011.0,1,1,1
07_16/17,2016/2017,7.0,28.0,2016-10-15,Metropolitan,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.7675136166710603,611875.6305681644,29857125.83686502,2016.0,,2012.0,,0,1,0
07_16/17,2016/2017,7.0,28.0,2016-10-15,Northern,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.2979938571234484,1133263.0770120043,36915817.104209,2016.0,2014.0,2014.0,2014.0,1,1,1
07_16/17,2016/2017,7.0,28.0,2016-10-15,Piccadilly,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.5388210010861266,919072.0345383956,22685993.21103048,2016.0,,,,0,0,0
07_16/17,2016/2017,7.0,28.0,2016-10-15,Victoria,1970358.100000003,4.687460641599778,6495238.988482887,0.9763852716504764,,0.3657006739021288,588714.1806519022,12853921.27140784,2016.0,2016.0,2009.0,2016.0,1,1,1
08_16/17,2016/2017,8.0,28.0,2016-11-12,Bakerloo,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.4624381167076826,290205.8978659928,9114910.594920175,2016.0,,,,0,0,0
08_16/17,2016/2017,8.0,28.0,2016-11-12,Central,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.5760160262172677,1023249.4002149898,38427967.67982584,2016.0,,,,0,0,0
08_16/17,2016/2017,8.0,28.0,2016-11-12,Waterloo & City,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.2827590235132736,27729.133900485293,8200863.588969521,2016.0,,,,0,0,0
08_16/17,2016/2017,8.0,28.0,2016-11-12,Circle & Hammersmith & City,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.6628019048477779,306234.6669946765,,2016.0,2023.0,2017.0,2023.0,0,0,0
08_16/17,2016/2017,8.0,28.0,2016-11-12,District,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.558997919025515,776228.6182300176,47991623.75747461,2016.0,2023.0,2017.0,2023.0,0,0,0
08_16/17,2016/2017,8.0,28.0,2016-11-12,Jubilee,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.3506402749358045,848782.9131162179,16765646.047169814,2016.0,2011.0,2011.0,2011.0,1,1,1
08_16/17,2016/2017,8.0,28.0,2016-11-12,Metropolitan,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.8172858410129372,617559.0997163691,30452104.79375908,2016.0,,2012.0,,0,1,0
08_16/17,2016/2017,8.0,28.0,2016-11-12,Northern,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.317318357415156,1143789.5065889044,37651458.38708273,2016.0,2014.0,2014.0,2014.0,1,1,1
08_16/17,2016/2017,8.0,28.0,2016-11-12,Piccadilly,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.5737628173140817,927608.9287899712,23138069.162699565,2016.0,,,,0,0,0
08_16/17,2016/2017,8.0,28.0,2016-11-12,Victoria,2269090.899999994,4.99143615106284,6555570.677729899,0.9732113421560302,,0.389415870073343,594182.5123122736,13110068.253265604,2016.0,2016.0,2009.0,2016.0,1,1,1
09_16/17,2016/2017,9.0,28.0,2016-12-10,Bakerloo,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.6081302117341181,279029.6827569174,9446803.431857768,2016.0,,,,0,0,0
09_16/17,2016/2017,9.0,28.0,2016-12-10,Central,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.757491078978639,983842.7048613484,39827209.842235126,2016.0,,,,0,0,0
09_16/17,2016/2017,9.0,28.0,2016-12-10,Waterloo & City,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.371842844753119,26661.24807342576,8499474.074891146,2016.0,,,,0,0,0
09_16/17,2016/2017,9.0,28.0,2016-12-10,Circle & Hammersmith & City,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.8716190300282823,294441.1626677279,,2016.0,2023.0,2017.0,2023.0,0,0,0
09_16/17,2016/2017,9.0,28.0,2016-12-10,District,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.7351113815533584,746335.0217354177,49739098.51240929,2016.0,2023.0,2017.0,2023.0,0,0,0
09_16/17,2016/2017,9.0,28.0,2016-12-10,Jubilee,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.4611102262878791,816095.1542262351,17376118.061320756,2016.0,2011.0,2011.0,2011.0,1,1,1
09_16/17,2016/2017,9.0,28.0,2016-12-10,Metropolitan,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,1.0747734531076063,593776.0774147885,31560929.213425256,2016.0,,2012.0,,0,1,0
09_16/17,2016/2017,9.0,28.0,2016-12-10,Northern,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.4172901690194853,1099740.651416968,39022426.23243832,2016.0,2014.0,2014.0,2014.0,1,1,1
09_16/17,2016/2017,9.0,28.0,2016-12-10,Piccadilly,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.7545279919019701,891885.4751955065,23980574.34535559,2016.0,,,,0,0,0
