Station,year,annual_entry_exit
Rayners Lane                       ,2013,4081729
Redbridge                          ,2013,2672035
Regent's Park                      ,2013,3794744
Richmond                           ,2013,7953442
Rickmansworth                      ,2013,2243984
Roding Valley                      ,2013,235697
Royal Oak                          ,2013,2431149
Ruislip                            ,2013,1713378
Ruislip Gardens                    ,2013,1003184
Ruislip Manor                      ,2013,1774400
Russell Square                     ,2013,12951499
Seven Sisters                      ,2013,14464440
Shepherd's Bush (Cen)              ,2013,22872181
Shepherd's Bush (H&C)              ,2013,3438569
Sloane Square                      ,2013,16560260
Snaresbrook                        ,2013,2588391
South Ealing                       ,2013,3476673
South Harrow                       ,2013,2287706
South Kensington                   ,2013,32751295
South Kenton                       ,2013,1022501
South Ruislip                      ,2013,1766082
South Wimbledon                    ,2013,3788099
South Woodford                     ,2013,4590459
Southfields                        ,2013,5789944
Southgate                          ,2013,5386357
Southwark                          ,2013,13457338
St. James's Park                   ,2013,14726104
St. John's Wood                    ,2013,7269493
St. Paul's                         ,2013,16439099
Stamford Brook                     ,2013,2664997
Stanmore                           ,2013,3542897
Stepney Green                      ,2013,5002409
Stockwell                          ,2013,9424813
Stonebridge Park                   ,2013,2544366
Stratford                          ,2013,54503326
Sudbury Hill                       ,2013,2007949
Sudbury Town                       ,2013,1979322
Swiss Cottage                      ,2013,7834077
Temple                             ,2013,7922122
Theydon Bois                       ,2013,823919
Tooting Bec                        ,2013,6901892
Tooting Broadway                   ,2013,13505007
Tottenham Court Road               ,2013,38063296
Tottenham Hale                     ,2013,10320809
Totteridge & Whetstone             ,2013,1950730
Tower Hill                         ,2013,23414868
Tufnell Park                       ,2013,3939656
Turnham Green                      ,2013,6195486
Turnpike Lane                      ,2013,10291376
Upminster                          ,2013,4959760
Upminster Bridge                   ,2013,1103760
Upney                              ,2013,2296702
Upton Park                         ,2013,10480206
Uxbridge                           ,2013,7587430
Vauxhall                           ,2013,25146161
Victoria                           ,2013,84582132
Walthamstow Central                ,2013,16681073
Wanstead                           ,2013,2732853
Warren Street                      ,2013,17596565
Warwick Avenue                     ,2013,4622339
Waterloo                           ,2013,89398131
Watford                            ,2013,1655119
Wembley Central                    ,2013,4592227
Wembley Park                       ,2013,11735107
West Acton                         ,2013,1692583
West Brompton                      ,2013,4610447
West Finchley                      ,2013,1370913
West Ham                           ,2013,3400895
West Hampstead                     ,2013,10159492
West Harrow                        ,2013,1130886
West Kensington                    ,2013,5040507
West Ruislip                       ,2013,1600225
Westbourne Park                    ,2013,3734232
Westminster                        ,2013,23501317
White City                         ,2013,7221772
Whitechapel                        ,2013,14448854
Willesden Green                    ,2013,8560802
Willesden Junction                 ,2013,4170593
Wimbledon                          ,2013,14195582
Wimbledon Park                     ,2013,2128289
Wood Green                         ,2013,12442500
Wood Lane                          ,2013,3444011
Woodford                           ,2013,5585475
Woodside Park                      ,2013,2633565
Acton Town                         ,2012,5584934
Aldgate                            ,2012,6647283
Aldgate East                       ,2012,10134021
Alperton                           ,2012,2893236
Amersham                           ,2012,2097954
Angel                              ,2012,18578717
Archway                            ,2012,8059174
Arnos Grove                        ,2012,4155802
Arsenal                            ,2012,3017544
Baker Street                       ,2012,27744272
Balham                             ,2012,11904117
Bank & Monument                    ,2012,47749950
Barbican                           ,2012,9850562
Barking                            ,2012,14514735
Barkingside                        ,2012,1118756
Barons Court                       ,2012,6809659
Bayswater                          ,2012,5541858
Becontree                          ,2012,2837652
Belsize Park                       ,2012,5806568
Bermondsey                         ,2012,7999518
Bethnal Green                      ,2012,15055906
Blackfriars                        ,2012,9282172
Blackhorse Road                    ,2012,7304059
