financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line
03_17/18,2017/2018,3.0,28.0,2017-06-24,Piccadilly,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.5387489933529019,908664.4545505466
03_17/18,2017/2018,3.0,28.0,2017-06-24,Victoria,2742883.7300000014,4.6868342120161115,6421686.843740736,0.9595559423455756,,0.3656518018713183,582047.5759736378
04_17/18,2017/2018,4.0,28.0,2017-07-22,Bakerloo,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.425217037351861,288299.7717535345
04_17/18,2017/2018,4.0,28.0,2017-07-22,Central,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.5296531996088144,1016528.5085458353
04_17/18,2017/2018,4.0,28.0,2017-07-22,Waterloo & City,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.2600000949723224,27547.003810806775
04_17/18,2017/2018,4.0,28.0,2017-07-22,Circle & Hammersmith & City,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.6094537888378612,304223.26095644344
04_17/18,2017/2018,4.0,28.0,2017-07-22,District,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.5140048590850427,771130.2048299947
04_17/18,2017/2018,4.0,28.0,2017-07-22,Jubilee,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.32241766735395017,843207.9496630413
04_17/18,2017/2018,4.0,28.0,2017-07-22,Metropolitan,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.7515035016130013,613502.8571154721
04_17/18,2017/2018,4.0,28.0,2017-07-22,Northern,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.2917777902869613,1136276.8851649538
04_17/18,2017/2018,4.0,28.0,2017-07-22,Piccadilly,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.5275813487389753,921516.2214593556
04_17/18,2017/2018,4.0,28.0,2017-07-22,Victoria,2698591.2100000028,4.589681550034424,6512512.474768576,0.9667138679191113,,0.358072262185634,590279.8114691381
05_17/18,2017/2018,5.0,28.0,2017-08-19,Bakerloo,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.38115006895970577,289034.6526505041
05_17/18,2017/2018,5.0,28.0,2017-08-19,Central,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.4747630876054898,1019119.6565637877
05_17/18,2017/2018,5.0,28.0,2017-08-19,Waterloo & City,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.2330552292669019,27617.221580131325
05_17/18,2017/2018,5.0,28.0,2017-08-19,Circle & Hammersmith & City,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.5462936177016005,304998.73109133414
05_17/18,2017/2018,5.0,28.0,2017-08-19,District,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.4607364481582912,773095.8285041275
05_17/18,2017/2018,5.0,28.0,2017-08-19,Jubilee,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.28900421514412716,845357.3007034922
05_17/18,2017/2018,5.0,28.0,2017-08-19,Metropolitan,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.6736221418763012,615066.6860674972
05_17/18,2017/2018,5.0,28.0,2017-08-19,Northern,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.2615396729664909,1139173.2737798213
05_17/18,2017/2018,5.0,28.0,2017-08-19,Piccadilly,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.47290595105510286,923865.1815826297
05_17/18,2017/2018,5.0,28.0,2017-08-19,Victoria,2457382.129999999,4.114034212253687,6529112.977016198,0.9643739845491135,,0.32096377951967525,591784.4444928727
06_17/18,2017/2018,6.0,28.0,2017-09-16,Bakerloo,2434940.760000006,4.03391441257691,6455556.325178974,0.9645686521675425,,0.3737272655515852,285778.40308203327
06_17/18,2017/2018,6.0,28.0,2017-09-16,Central,2434940.760000006,4.03391441257691,6455556.325178974,0.9645686521675425,,0.4655171937916796,1007638.3067966418
06_17/18,2017/2018,6.0,28.0,2017-09-16,Waterloo & City,2434940.760000006,4.03391441257691,6455556.325178974,0.9645686521675425,,0.2285165362665195,27306.087378650627
